SubNo,BlkNo,Trty,Resp,Cor,RT,PFresp,PFno,Congru,Effector,BadSub,Practice,RTinBounds
2,10,2,Z,1,317.388,440.492,0.109,2,1,0,0,1
2,10,1,Z,1,284.579,420.307,2.27,1,1,0,0,1
2,10,2,Z,1,300.646,286.636,2.251,2,1,0,0,1
2,10,3,/,1,324.536,481.683,2.516,1,2,0,0,1
2,10,4,/,1,351.51,446.967,1.626,2,2,0,0,1
2,10,2,Z,1,380.816,331.864,1.961,2,1,0,0,1
2,10,1,Z,1,290.157,506.699,0.635,1,1,0,0,1
2,10,1,Z,1,248.46,474.844,0.908,1,1,0,0,1
2,10,3,/,1,282.808,463.781,1.258,1,2,0,0,1
2,11,4,/,1,340.143,788.68,-5.941,2,2,0,0,1
2,11,2,Z,1,324.005,483.901,-0.853,2,1,0,0,1
2,11,2,Z,1,343.489,402.696,2.306,2,1,0,0,1
2,11,2,Z,1,342.373,357.739,-1.089,2,1,0,0,1
2,11,4,/,1,394.444,323.374,1.393,2,2,0,0,1
2,11,2,Z,1,362.275,330.722,-0.672,2,1,0,0,1
2,11,1,Z,1,302.69,468.012,1.289,1,1,0,0,1
2,11,3,/,1,302.835,513.912,2.148,1,2,0,0,1
2,11,4,/,1,339.31,432.406,3,2,2,0,0,1
2,11,3,/,1,278.05,449.727,1.49,1,2,0,0,1
2,11,4,/,1,347.459,494.956,1.239,2,2,0,0,1
2,11,3,/,1,254.782,470.608,1.548,1,2,0,0,1
2,11,1,Z,1,271.723,469.793,0.853,1,1,0,0,1
2,11,4,/,1,366.943,408.62,2.613,2,2,0,0,1
2,11,2,Z,1,321.704,463.851,-0.109,2,1,0,0,1
2,11,3,/,1,620.661,430.154,-0.929,1,2,0,0,1
2,11,2,Z,1,317.431,701.834,-0.091,2,1,0,0,1
2,11,1,Z,1,304.628,365.055,-1.67,1,1,0,0,1
2,11,2,Z,1,352.251,375.737,-0.272,2,1,0,0,1
2,11,1,Z,1,297.401,493.655,2.088,1,1,0,0,1
2,11,2,Z,1,284.573,424.855,0.454,2,1,0,0,1
2,11,4,/,1,299.858,466.559,1.645,2,2,0,0,1
2,11,4,/,1,305.436,526.313,1.374,2,2,0,0,1
2,11,3,/,1,273.373,399.197,1.451,1,2,0,0,1
2,11,2,Z,1,325.603,358.378,1.126,2,1,0,0,1
2,11,4,/,1,330.23,338.662,49.718,2,2,0,0,1
2,11,1,Z,1,493.145,430.913,0.744,1,1,0,0,1
2,11,1,Z,1,290.18,416.572,0.418,1,1,0,0,1
2,11,1,Z,1,278.608,439.234,0.599,1,1,0,0,1
2,11,4,/,1,310.158,481.411,2.922,2,2,0,0,1
2,11,3,/,1,306.302,376.01,0.426,1,2,0,0,1
2,11,3,/,1,289.694,509.391,1.645,1,2,0,0,1
2,11,3,/,1,271.316,511.243,2.013,1,2,0,0,1
2,11,3,/,1,254.783,596.616,-3.155,1,2,0,0,1
2,11,1,Z,1,311.945,512.853,2.76,1,1,0,0,1
2,11,1,Z,1,266.893,509.253,1.38,1,1,0,0,1
2,11,2,Z,1,283.74,514.962,0.236,2,1,0,0,1
2,11,4,/,1,295.752,469.754,1.316,2,2,0,0,1
2,11,3,/,1,300.854,550.389,3.213,1,2,0,0,1
2,11,1,Z,1,308.86,322.343,-0.309,1,1,0,0,1
2,12,1,Z,1,293.854,513.434,1.652,1,1,0,0,1
2,12,4,/,1,344.571,489.981,-0.852,2,2,0,0,1
2,12,1,Z,1,338.948,555.836,2.143,1,1,0,0,1
2,12,1,Z,1,315.871,525.394,0.908,1,1,0,0,1
2,12,2,Z,1,394.357,492.281,-0.163,2,1,0,0,1
2,12,2,Z,1,344.506,646.117,2.034,2,1,0,0,1
2,12,3,/,1,299.21,643.298,0.639,1,2,0,0,1
2,12,2,Z,1,353.761,532.651,0.617,2,1,0,0,1
2,12,4,/,1,351.92,430.118,2.361,2,2,0,0,1
2,12,4,/,1,325.901,462.056,3.561,2,2,0,0,1
2,12,4,/,1,381.329,528.455,-0.503,2,2,0,0,1
2,12,2,Z,1,337.316,552.159,-0.599,2,1,0,0,1
2,12,4,/,1,309.395,667.809,0.6,2,2,0,0,1
2,12,2,Z,1,338.026,579.911,-1.58,2,1,0,0,1
2,12,2,Z,1,313.985,528.974,1.071,2,1,0,0,1
2,12,3,/,1,382.27,539.804,0.852,1,2,0,0,1
2,12,2,Z,1,443.99,440.57,-0.2,2,1,0,0,1
2,12,3,/,1,393.193,467.212,1.471,1,2,0,0,1
2,12,3,/,1,308.067,430.118,2.129,1,2,0,0,1
2,12,3,/,1,282.485,493.34,1.451,1,2,0,0,1
2,12,2,Z,1,350.602,434.086,1.743,2,1,0,0,1
2,12,1,Z,1,307.316,502.654,0.617,1,1,0,0,1
2,12,3,/,1,397.489,370.454,-0.581,1,2,0,0,1
2,12,4,/,1,420.71,419.605,-0.677,2,2,0,0,1
2,12,3,/,1,287.594,590.098,2.787,1,2,0,0,1
2,12,1,Z,1,304.118,503.738,1.017,1,1,0,0,1
2,12,4,/,1,342.166,474.493,1.297,2,2,0,0,1
2,12,3,/,1,288.407,626.902,1.006,1,2,0,0,1
2,12,3,/,1,374.13,589.335,-1.684,1,2,0,0,1
2,12,1,Z,1,313.878,742.476,-1.253,1,1,0,0,1
2,12,1,Z,1,364.771,523.516,-1.598,1,1,0,0,1
